text,Emotion
Жаным кайгыга толду.,грусть
Wow! Муну күткөн эмесмин!,удивление
Бул менин жашоомдогу эң сонун күн!,радость
"Ой, мен мындайды көргөн эмесмин!",удивление
Мен дем алгандан да корком.,страх
Менин жаным тынч жана тынч.,спокойствие
Мен толугу менен тынч сезем.,спокойствие
Мен өзүмдү жалгыз сезем.,грусть
Менин оюмду эч нерсе буза албайт.,спокойствие
Бул мени титиретет.,отвращение
"Ой, кандай жийиркеничтүү!",отвращение
Мен өз көзүмө ишене албай турам.,удивление
Мен ачуум менен жанымдамын!,гнев
Мен чын жүрөктөн күлөм.,радость
Мен өзүмдү жакшы жана тынч сезем.,спокойствие
Мен азыр абдан кайгырып жатам.,грусть
"Мен аябай жыргап жатам, жылмайганымды токтото албайм!",радость
Мени эч нерсе бактылуу кыла албайт.,грусть
"Күн жаркырап турат, мен өзүмдү абдан жакшы сезем.",радость
Жан дүйнөм кайгыга толду.,грусть
Мен муну көрө албайм.,отвращение
Мен жөн гана таң калдым.,удивление
Ал мени кандай кыжырдантат!,гнев
Көзүмдөн жаш тегеренет.,грусть
Баарынын аягы жаман болуп кетеби деп корком.,страх
Мен жинденип кыйкыргым келет!,гнев
Мен бүгүн кандай бактылуумун!,радость
Бул мени жийиркенет.,отвращение
Коркуп жүрөгүм дүкүлдөп жатат.,страх
Маңдайыма муздак тер чыкты.,страх
Мен унчукпайм.,спокойствие
Коркконумдан тизелерим титиреп жатат.,страх
Колум муштумдай түйүлөт.,гнев
Мен ачууланып жатам.,гнев
Бул чын эле болдубу?!,удивление
"Ушунчалык жийиркеничтүү, ичим ооруйт.",отвращение
Дем алгандан да корком.,страх
Жайкы күндү жакшы көрөм.,радость
Жайкы шамал жанымды тынчтандырды.,спокойствие
Сүйүнүп жатам.,радость
Жеңишке жеттим!,радость
Жыт абдан жагымсыз.,отвращение
Мен өзүмдү жалгыз сезип жатам.,грусть
Мындай болбош керек эле.,гнев
Муну көргүм келбейт.,отвращение
Менин көңүлүм калды.,отвращение
Таарынып жатам.,гнев
Тынчсызданып жатам.,страх
Бул үн мени чочутту.,страх
Мен ачууландым!,гнев
Тынчтыкта болуу жагымдуу.,спокойствие
Бүгүнкү күн абдан керемет!,радость
Эмнеге муну кылдың?,гнев
Мен кооптонуп жатам.,страх
Кечки уйкум качты.,грусть
Көзүмө жаш келди.,грусть
Бул мени кыжырдантат.,гнев
Бул жийиркеничтүү!,отвращение
Мен бактылуумун.,радость
Баары жайында.,спокойствие
Мага жаккан жок.,отвращение
Досум кетип калды.,грусть
Кайгырып турам.,грусть
Мен өзүмдү тынч сезип жатам.,спокойствие
Караңгыдан корком.,страх
Бул коркунучтуу көрүнөт.,страх
Жөн гана эс алып жатам.,спокойствие
"Көптөн күткөн китеби келгенде, ал күнү бою окуп ырахат алды.",радость
"Кызматы көтөрүлгөнүн укканда, ал көзүнө жаш алып, сүйүндү.",радость
"Музыка угуп отуруп, ал балалык күндөрдү эстеп шаттанды.",радость
"Жеңишке жеткенде, ал бутуна тура албай, кубаныч менен кыйкырды.",радость
"Ал кечинде үйгө кайтып келгенде, аны күтпөгөн белек менен тосуп алышты.",радость
"Жайкы каникулда достору менен тоого барып, ал чексиз кубанды.",радость
